title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Don't Tell 'Em,Jeremih,chicago rap,2015,2020‑06‑10,98,53,86,-5,11,39,267,39,10,80,2014,Solo
Bang Bang,Jessie J,dance pop,2014,2020‑06‑10,150,79,71,-3,38,75,199,26,9,83,2014,Solo
All of Me,John Legend,neo soul,2013,2020‑06‑10,120,26,42,-7,13,33,270,92,3,90,2014,Solo
Not a Bad Thing,Justin Timberlake,dance pop,2013,2020‑06‑10,86,56,31,-9,13,11,688,53,7,61,2014,Solo
Dark Horse,Katy Perry,dance pop,2013,2020‑06‑10,132,59,65,-6,17,35,216,0,5,79,2014,Solo
Show Me (feat. Chris Brown),Kid Ink,dance pop,2014,2020‑06‑10,98,51,71,-7,14,66,218,4,5,74,2014,Solo
Hideaway,Kiesza,electropop,2014,2020‑06‑10,123,72,84,-4,8,20,252,9,5,70,2014,Solo
Jubel - Radio Edit,Klingande,deep house,2013,2020‑06‑29,125,52,69,-7,14,10,202,65,3,55,2014,Duo
Jealous,Labrinth,indie poptimism,2014,2020‑06‑10,117,15,44,-9,11,10,288,87,5,82,2014,Solo
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2014,2020‑06‑10,123,88,76,-6,60,80,189,2,3,77,2014,Duo
Team,Lorde,art pop,2013,2020‑06‑10,100,58,69,-7,31,42,193,17,9,82,2014,Solo
Rude,MAGIC!,reggae fusion,2014,2020‑06‑10,144,76,77,-5,31,93,225,4,4,85,2014,Band/Group
Maps,Maroon 5,pop,2014,2020‑06‑10,120,71,74,-6,6,88,190,2,3,87,2014,Band/Group
Animals,Maroon 5,pop,2014,2020‑06‑10,190,74,28,-6,59,33,231,0,9,85,2014,Band/Group
Sugar,Maroon 5,pop,2014,2020‑06‑10,120,79,75,-7,9,88,235,6,3,85,2014,Band/Group
All About That Bass,Meghan Trainor,dance pop,2015,2020‑06‑10,134,89,81,-4,12,96,188,6,5,78,2014,Solo
Stolen Dance,Milky Chance,german pop,2014,2020‑06‑10,114,58,89,-9,8,73,314,43,4,78,2014,Band/Group
Classic,MKTO,dance pop,2012,2020‑06‑10,102,79,72,-5,16,76,175,4,12,87,2014,Duo
Waves - Robin Schulz Radio Edit,Mr. Probz,dutch hip hop,2014,2020‑06‑10,120,51,83,-9,8,45,208,1,4,82,2014,Solo
Somebody,Natalie La Rose,chicago rap,2014,2020‑06‑10,105,52,83,-9,7,74,190,0,4,71,2014,Solo
Jealous - Remix,Nick Jonas,dance pop,2015,2020‑06‑10,93,71,68,-4,44,45,222,1,8,71,2014,Solo
Anaconda,Nicki Minaj,dance pop,2014,2020‑06‑10,130,61,96,-6,21,65,260,7,18,70,2014,Solo
Am I Wrong,Nico & Vinz,pop rap,2014,2020‑06‑10,120,68,73,-6,55,78,246,18,3,82,2014,Duo
CoCo,O.T. Genasis,pop rap,2014,2020‑06‑10,120,63,89,-6,31,18,240,0,13,66,2014,Solo
Gecko (Overdrive) - Radio Edit,Oliver Heldens,dance pop,2014,2020‑06‑10,125,89,61,-5,34,76,165,1,6,73,2014,Solo
Wrapped Up,Olly Murs,dance pop,2014,2020‑06‑10,122,84,79,-5,16,92,186,9,6,68,2014,Solo
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2014,2020‑06‑10,97,68,73,-6,21,70,227,7,4,60,2014,Solo
Night Changes,One Direction,boy band,2014,2020‑06‑10,120,52,67,-8,12,37,227,86,4,88,2014,Band/Group
Steal My Girl,One Direction,boy band,2014,2020‑06‑10,77,77,54,-6,11,55,228,0,3,84,2014,Band/Group
Counting Stars,OneRepublic,dance pop,2014,2020‑06‑10,122,71,66,-5,12,48,258,7,4,80,2014,Band/Group
Love Runs Out,OneRepublic,dance pop,2014,2020‑06‑19,120,94,72,-4,10,74,224,17,6,65,2014,Band/Group
Only Love Can Hurt Like This,Paloma Faith,british soul,2014,2020‑08‑20,91,89,57,-5,33,30,233,10,8,85,2014,Solo
Ain't It Fun,Paramore,candy pop,2013,2020‑06‑10,104,89,61,-4,2,67,297,15,9,78,2014,Band/Group
High (feat. Nicole Millar),Peking Duk,aussietronica,2014,2020‑06‑29,100,80,53,-4,29,38,228,0,5,54,2014,Band/Group
"Happy - From ""Despicable Me 2""",Pharrell Williams,pop rap,2014,2020‑06‑10,160,82,65,-5,9,96,233,22,18,85,2014,Solo
Timber (feat. Ke$ha),Pitbull,dance pop,2012,2020‑06‑10,130,96,58,-4,14,79,204,3,10,86,2014,Solo
Me And My Broken Heart,Rixton,pop,2014,2020‑06‑10,174,78,55,-4,13,55,194,0,3,83,2014,Duo
My Love (feat. Jess Glynne),Route 94,deep groove house,2014,2020‑06‑10,120,62,81,-8,7,73,260,0,5,78,2014,Solo
Stay With Me,Sam Smith,dance pop,2014,2020‑06‑10,84,42,42,-6,11,18,173,59,4,86,2014,Solo
Money On My Mind,Sam Smith,dance pop,2014,2020‑06‑10,134,84,69,-5,23,74,193,20,18,67,2014,Solo
Collard Greens,ScHoolboy Q,gangster rap,2014,2020‑06‑10,154,57,83,-5,21,65,300,3,6,84,2014,Solo
Man Of The Year,ScHoolboy Q,gangster rap,2014,2020‑06‑10,112,87,75,-5,20,37,216,1,4,76,2014,Solo
Geronimo,Sheppard,australian indie,2015,2020‑06‑10,142,78,71,-6,12,46,218,46,8,69,2014,Band/Group
Chandelier,Sia,australian dance,2015,2020‑06‑10,117,79,40,-3,7,57,216,2,5,73,2014,Solo
Elastic Heart,Sia,australian dance,2015,2020‑06‑10,130,79,42,-5,15,50,257,1,5,68,2014,Solo
Nobody To Love,Sigma,dance pop,2014,2020‑06‑10,88,91,52,-3,20,23,190,0,4,55,2014,Solo
Style,Taylor Swift,pop,2014,2020‑06‑10,95,79,59,-6,12,49,231,0,4,66,2014,Solo
Bad Blood,Taylor Swift,pop,2014,2020‑06‑10,170,79,65,-6,20,29,212,9,19,60,2014,Solo
Shake It Off,Taylor Swift,pop,2014,2020‑06‑10,160,79,65,-5,15,94,219,6,17,77,2014,Solo
#SELFIE,The Chainsmokers,dance pop,2014,2020‑06‑10,128,92,79,-3,8,66,184,1,25,69,2014,Duo
Superheroes,The Script,celtic rock,2014,2020‑06‑10,167,89,49,-4,7,64,245,0,4,79,2014,Band/Group
Wasted,Tiësto,big room,2014,2020‑06‑10,112,82,64,-6,20,39,190,0,3,68,2014,Solo
Red Lights,Tiësto,big room,2014,2020‑06‑11,125,83,65,-5,12,55,262,0,4,72,2014,Solo
2 On (feat. ScHoolboy Q),Tinashe,alternative r&b,2014,2020‑06‑10,101,60,74,-8,11,43,227,15,11,77,2014,Solo
Habits (Stay High),Tove Lo,art pop,2014,2020‑06‑10,110,65,73,-4,8,35,209,7,3,78,2014,Solo
Talking Body,Tove Lo,art pop,2014,2020‑06‑10,120,76,74,-5,8,11,238,10,3,72,2014,Solo
Na Na,Trey Songz,dance pop,2015,2020‑06‑10,97,48,67,-6,10,24,232,33,4,68,2014,Solo
Riptide,Vance Joy,folk-pop,2014,2020‑06‑10,102,73,48,-7,15,51,204,43,4,83,2014,Solo
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2012,2020‑06‑10,128,74,60,-3,9,46,217,11,4,69,2014,Solo
Faded,ZHU,edm,2014,2020‑06‑10,125,48,87,-7,11,61,223,1,5,66,2014,Solo
